STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
TOTAL (ALL INDIA),2013,Avalanche,2,9,11,8,12,42,1,1,1,1,6,10,52
TOTAL (ALL INDIA),2013,Cold and Exposure,21,71,179,261,249,781,13,14,28,38,72,165,946
TOTAL (ALL INDIA),2013,Cyclone/tornado,4,6,11,16,3,40,3,1,3,3,2,12,52
TOTAL (ALL INDIA),2013,Starvation/thirst,0,2,35,44,19,100,0,0,2,3,4,9,109
TOTAL (ALL INDIA),2013,Earthquake,0,0,3,1,0,4,0,3,0,0,2,5,9
TOTAL (ALL INDIA),2013,Epidemic,1,9,11,20,6,47,1,4,2,2,1,10,57
TOTAL (ALL INDIA),2013,Flood,87,130,160,133,51,561,38,32,22,24,23,139,700
TOTAL (ALL INDIA),2013,Heat Stroke,17,78,266,383,260,1004,11,14,37,68,82,212,1216
TOTAL (ALL INDIA),2013,Landslide,10,47,82,50,10,199,6,11,28,16,4,65,264
TOTAL (ALL INDIA),2013,Lightning,186,603,606,489,129,2013,104,194,301,170,51,820,2833
TOTAL (ALL INDIA),2013,Torrential rains,7,20,32,31,18,108,3,5,10,6,10,34,142
TOTAL (ALL INDIA),2013,Other Natural Causes,524,2454,3929,3824,1990,12721,263,924,1110,821,540,3658,16379
TOTAL (ALL INDIA),2013,Total,859,3429,5325,5260,2747,17620,443,1203,1544,1152,797,5139,22759
TOTAL (STATES),2013,Avalanche,2,9,11,8,12,42,1,1,1,1,6,10,52
TOTAL (STATES),2013,Cold and Exposure,21,71,178,257,246,773,13,14,27,38,72,164,937
TOTAL (STATES),2013,Cyclone/tornado,4,6,11,16,3,40,3,1,3,3,2,12,52
TOTAL (STATES),2013,Starvation/thirst,0,2,35,44,19,100,0,0,2,3,4,9,109
TOTAL (STATES),2013,Earthquake,0,0,3,1,0,4,0,3,0,0,2,5,9
TOTAL (STATES),2013,Epidemic,1,9,11,20,6,47,1,4,2,2,1,10,57
TOTAL (STATES),2013,Flood,87,130,160,133,51,561,38,32,22,24,23,139,700
TOTAL (STATES),2013,Heat Stroke,17,78,265,383,259,1002,11,14,37,68,82,212,1214
TOTAL (STATES),2013,Landslide,10,47,82,50,10,199,6,11,28,16,4,65,264
TOTAL (STATES),2013,Lightning,186,603,606,489,129,2013,104,194,301,170,51,820,2833
TOTAL (STATES),2013,Torrential rains,7,20,32,31,18,108,3,5,10,6,10,34,142
TOTAL (STATES),2013,Other Natural Causes,497,2268,3508,3425,1787,11485,249,867,1060,779,504,3459,14944
TOTAL (STATES),2013,Total,832,3243,4902,4857,2540,16374,429,1146,1493,1110,761,4939,21313
TOTAL (UTs),2013,Avalanche,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2013,Cold and Exposure,0,0,1,4,3,8,0,0,1,0,0,1,9
TOTAL (UTs),2013,Cyclone/tornado,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2013,Starvation/thirst,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2013,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2013,Epidemic,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2013,Flood,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2013,Heat Stroke,0,0,1,0,1,2,0,0,0,0,0,0,2
TOTAL (UTs),2013,Landslide,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2013,Lightning,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2013,Torrential rains,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2013,Other Natural Causes,27,186,421,399,203,1236,14,57,50,42,36,199,1435
TOTAL (UTs),2013,Total,27,186,423,403,207,1246,14,57,51,42,36,200,1446
ANDHRA PRADESH,2013,Avalanche,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2013,Cold and Exposure,0,0,0,1,1,2,0,0,0,0,0,0,2
ANDHRA PRADESH,2013,Cyclone/tornado,1,1,1,3,1,7,0,0,0,0,1,1,8
ANDHRA PRADESH,2013,Starvation/thirst,0,0,0,1,0,1,0,0,0,0,0,0,1
ANDHRA PRADESH,2013,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2013,Epidemic,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2013,Flood,4,12,5,9,6,36,4,2,0,2,1,9,45
ANDHRA PRADESH,2013,Heat Stroke,1,29,93,112,97,332,2,5,14,31,34,86,418
ANDHRA PRADESH,2013,Landslide,0,0,0,1,0,1,0,0,0,0,0,0,1
ANDHRA PRADESH,2013,Lightning,4,23,21,24,5,77,1,4,19,14,3,41,118
ANDHRA PRADESH,2013,Torrential rains,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2013,Other Natural Causes,11,68,165,128,43,415,12,24,47,24,20,127,542
ANDHRA PRADESH,2013,Total,21,133,285,279,153,871,19,35,80,71,59,264,1135
ARUNACHAL PRADESH,2013,Avalanche,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,Cold and Exposure,0,2,0,0,0,2,0,0,0,0,0,0,2
ARUNACHAL PRADESH,2013,Cyclone/tornado,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,Starvation/thirst,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,Epidemic,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,Flood,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,Heat Stroke,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,Landslide,0,3,8,1,0,12,1,0,0,0,0,1,13
ARUNACHAL PRADESH,2013,Lightning,0,2,0,0,0,2,0,0,0,0,0,0,2
ARUNACHAL PRADESH,2013,Torrential rains,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,Other Natural Causes,0,32,34,13,6,85,0,11,6,0,0,17,102
ARUNACHAL PRADESH,2013,Total,0,39,42,14,6,101,1,11,6,0,0,18,119
ASSAM,2013,Avalanche,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2013,Cold and Exposure,0,5,0,0,0,5,0,0,2,0,0,2,7
ASSAM,2013,Cyclone/tornado,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2013,Starvation/thirst,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2013,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2013,Epidemic,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2013,Flood,15,12,7,12,4,50,10,4,1,3,4,22,72
ASSAM,2013,Heat Stroke,0,0,0,3,2,5,0,0,0,0,0,0,5
ASSAM,2013,Landslide,0,1,1,0,0,2,0,0,0,0,0,0,2
ASSAM,2013,Lightning,2,8,7,5,0,22,0,5,3,1,0,9,31
ASSAM,2013,Torrential rains,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2013,Other Natural Causes,16,13,27,23,12,91,5,1,5,4,3,18,109
ASSAM,2013,Total,33,39,42,43,18,175,15,10,11,8,7,51,226
BIHAR,2013,Avalanche,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,2013,Cold and Exposure,15,8,24,35,43,125,4,7,8,12,24,55,180
BIHAR,2013,Cyclone/tornado,0,0,0,0,0,0,0,0,1,0,0,1,1
BIHAR,2013,Starvation/thirst,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,2013,Earthquake,0,0,2,0,0,2,0,3,0,0,2,5,7
BIHAR,2013,Epidemic,0,1,0,2,1,4,0,0,0,0,0,0,4
BIHAR,2013,Flood,36,26,22,13,8,105,11,5,5,3,2,26,131
BIHAR,2013,Heat Stroke,2,9,13,22,14,60,2,1,5,4,13,25,85
