Date,zone,centre,Price
06-01-93,1,HISAR,NA
06-01-93,1,KARNAL,NA
06-01-93,1,SHIMLA,NA
06-01-93,1,MANDI,NA
06-01-93,1,SRINAGAR,NA
06-01-93,1,JAMMU,NA
06-01-93,1,AMRITSAR,NA
06-01-93,1,LUDHIANA,NA
06-01-93,1,LUCKNOW,NA
06-01-93,1,KANPUR,NA
06-01-93,1,CHANDIGARH,NA
06-01-93,1,DELHI,NA
06-01-93,2,AHMEDABAD,NA
06-01-93,2,RAJKOT,NA
06-01-93,2,PANAJI,NA
06-01-93,2,BHOPAL,NA
06-01-93,2,INDORE,NA
06-01-93,2,MUMBAI,NA
06-01-93,2,NAGPUR,NA
06-01-93,2,JAIPUR,NA
06-01-93,2,JODHPUR,NA
06-01-93,3,GUWAHATI,NA
06-01-93,3,PATNA,NA
06-01-93,3,SHILLONG,NA
06-01-93,3,AIZAWL,NA
06-01-93,3,BHUBANESHWAR,NA
06-01-93,3,CUTTACK,NA
06-01-93,3,KOLKATA,NA
06-01-93,3,AGARTALA,NA
06-01-93,4,HYDERABAD,NA
06-01-93,4,VIJAYAWADA,NA
06-01-93,4,BANGALORE,NA
06-01-93,4,THIRUVANANTHAPURAM,NA
06-01-93,4,ERNAKULAM,NA
06-01-93,4,CHENNAI,NA
06-01-93,4,MADURAI,NA
06-01-93,4,PONDICHERRY,NA
13-01-93,1,HISAR,NA
13-01-93,1,KARNAL,NA
13-01-93,1,SHIMLA,NA
13-01-93,1,MANDI,NA
13-01-93,1,SRINAGAR,NA
13-01-93,1,JAMMU,NA
13-01-93,1,AMRITSAR,NA
13-01-93,1,LUDHIANA,NA
13-01-93,1,LUCKNOW,NA
13-01-93,1,KANPUR,NA
13-01-93,1,CHANDIGARH,NA
13-01-93,1,DELHI,NA
13-01-93,2,AHMEDABAD,NA
13-01-93,2,RAJKOT,NA
13-01-93,2,PANAJI,NA
13-01-93,2,BHOPAL,NA
13-01-93,2,INDORE,NA
13-01-93,2,MUMBAI,NA
13-01-93,2,NAGPUR,NA
13-01-93,2,JAIPUR,NA
13-01-93,2,JODHPUR,NA
13-01-93,3,GUWAHATI,NA
13-01-93,3,PATNA,NA
13-01-93,3,SHILLONG,NA
13-01-93,3,AIZAWL,NA
13-01-93,3,BHUBANESHWAR,NA
13-01-93,3,CUTTACK,NA
13-01-93,3,KOLKATA,NA
13-01-93,3,AGARTALA,NA
13-01-93,4,CHENNAI,NA
13-01-93,4,HYDERABAD,NA
13-01-93,4,VIJAYAWADA,NA
13-01-93,4,BANGALORE,NA
13-01-93,4,THIRUVANANTHAPURAM,NA
13-01-93,4,ERNAKULAM,NA
13-01-93,4,MADURAI,NA
13-01-93,4,PONDICHERRY,NA
